Minnesota Timberwolves,Toronto Raptors,2016-02-10 08:00:00,0,Local
Chicago Bulls,Toronto Raptors,2016-02-19 08:00:00,0,Local
Toronto Raptors,Memphis Grizzlies,2016-02-21 06:00:00,0,Local
New York Knicks,Toronto Raptors,2016-02-22 07:30:00,0,Local
Toronto Raptors,Minnesota Timberwolves,2016-02-24 07:30:00,0,Local
Toronto Raptors,Cleveland Cavaliers,2016-02-26 07:30:00,0,Local
Detroit Pistons,Toronto Raptors,2016-02-28 06:00:00,0,Local
Toronto Raptors,Utah Jazz,2016-03-02 07:30:00,0,Local
Toronto Raptors,Portland Trail Blazers,2016-03-04 07:30:00,0,Local
Toronto Raptors,Houston Rockets,2016-03-06 06:30:00,0,Local
Toronto Raptors,Atlanta Hawks,2016-03-10 07:30:00,0,Local
Toronto Raptors,Miami Heat,2016-03-12 07:00:00,0,Local
Toronto Raptors,Chicago Bulls,2016-03-14 07:30:00,0,Local
Milwaukee Bucks,Toronto Raptors,2016-03-15 08:00:00,0,Local
Indiana Pacers,Toronto Raptors,2016-03-17 07:00:00,0,Local
Toronto Raptors,Boston Celtics,2016-03-18 07:30:00,0,Local
Toronto Raptors,Orlando Magic,2016-03-20 04:30:00,0,Local
Boston Celtics,Toronto Raptors,2016-03-23 07:30:00,0,Local
Houston Rockets,Toronto Raptors,2016-03-25 08:00:00,0,Local
New Orleans Pelicans,Toronto Raptors,2016-03-26 07:00:00,0,Local
Toronto Raptors,Oklahoma City Thunder,2016-03-28 07:30:00,0,Local
Toronto Raptors,Atlanta Hawks,2016-03-30 07:30:00,1,NBATV
Memphis Grizzlies,Toronto Raptors,2016-04-01 08:00:00,0,Local
San Antonio Spurs,Toronto Raptors,2016-04-02 08:30:00,0,Local
Toronto Raptors,Charlotte Hornets,2016-04-05 07:30:00,0,Local
Atlanta Hawks,Toronto Raptors,2016-04-07 08:00:00,0,Local
Toronto Raptors,Indiana Pacers,2016-04-08 07:30:00,0,Local
New York Knicks,Toronto Raptors,2016-04-10 07:30:00,0,Local
Toronto Raptors,Philadelphia 76Ers,2016-04-12 07:30:00,0,Local
Boston Celtics,Philadelphia 76Ers,2015-10-28 07:30:00,0,Local
Boston Celtics,San Antonio Spurs,2015-11-01 03:30:00,0,Local
Indiana Pacers,Boston Celtics,2015-11-04 07:00:00,0,Local
Boston Celtics,Washington Wizards,2015-11-06 07:30:00,0,Local
Milwaukee Bucks,Boston Celtics,2015-11-10 08:00:00,0,Local
Boston Celtics,Indiana Pacers,2015-11-11 07:30:00,0,Local
Boston Celtics,Atlanta Hawks,2015-11-13 07:30:00,0,Local
Oklahoma City Thunder,Boston Celtics,2015-11-15 07:00:00,0,Local
Houston Rockets,Boston Celtics,2015-11-16 08:00:00,0,Local
Boston Celtics,Dallas Mavericks,2015-11-18 07:30:00,0,Local
Atlanta Hawks,Boston Celtics,2015-11-24 08:00:00,1,TNT
Boston Celtics,Philadelphia 76Ers,2015-11-25 07:30:00,0,Local
Boston Celtics,Washington Wizards,2015-11-27 07:30:00,0,Local
Orlando Magic,Boston Celtics,2015-11-29 06:00:00,0,Local
Miami Heat,Boston Celtics,2015-11-30 07:30:00,0,Local
Sacramento Kings,Boston Celtics,2015-12-03 10:00:00,0,Local
San Antonio Spurs,Boston Celtics,2015-12-05 08:30:00,0,Local
New Orleans Pelicans,Boston Celtics,2015-12-07 08:00:00,0,Local
Boston Celtics,Chicago Bulls,2015-12-09 07:00:00,1,ESPN
Boston Celtics,Golden State Warriors,2015-12-11 07:30:00,0,Local
Charlotte Hornets,Boston Celtics,2015-12-12 07:00:00,0,Local
Boston Celtics,Cleveland Cavaliers,2015-12-15 07:30:00,0,Local
Detroit Pistons,Boston Celtics,2015-12-16 07:30:00,0,Local
Boston Celtics,Atlanta Hawks,2015-12-18 07:30:00,0,Local
Boston Celtics,Minnesota Timberwolves,2015-12-21 07:30:00,0,Local
Charlotte Hornets,Boston Celtics,2015-12-23 07:00:00,0,Local
Detroit Pistons,Boston Celtics,2015-12-26 07:30:00,0,Local
Boston Celtics,New York Knicks,2015-12-27 07:00:00,1,NBATV
Boston Celtics,Detroit Pistons,2016-01-06 07:30:00,0,Local
Chicago Bulls,Boston Celtics,2016-01-07 08:00:00,1,TNT
Memphis Grizzlies,Boston Celtics,2016-01-10 06:00:00,0,Local
New York Knicks,Boston Celtics,2016-01-12 07:30:00,0,Local
Boston Celtics,Indiana Pacers,2016-01-13 08:00:00,1,ESPN
Boston Celtics,Phoenix Suns,2016-01-15 07:30:00,0,Local
Washington Wizards,Boston Celtics,2016-01-16 07:00:00,0,Local
Dallas Mavericks,Boston Celtics,2016-01-18 08:30:00,0,Local
Boston Celtics,Chicago Bulls,2016-01-22 07:30:00,0,Local
Philadelphia 76Ers,Boston Celtics,2016-01-23 07:00:00,0,Local
Washington Wizards,Boston Celtics,2016-01-25 07:00:00,0,Local
Boston Celtics,Denver Nuggets,2016-01-27 07:30:00,0,Local
Boston Celtics,Orlando Magic,2016-01-29 07:30:00,0,Local
Orlando Magic,Boston Celtics,2016-01-31 06:00:00,1,NBATV
New York Knicks,Boston Celtics,2016-02-02 07:30:00,0,Local
Boston Celtics,Detroit Pistons,2016-02-03 07:30:00,0,Local
Cleveland Cavaliers,Boston Celtics,2016-02-05 07:30:00,0,Local
Boston Celtics,Sacramento Kings,2016-02-07 01:00:00,0,Local
Milwaukee Bucks,Boston Celtics,2016-02-09 08:00:00,0,Local
Boston Celtics,Los Angeles Clippers,2016-02-10 07:30:00,0,Local
Utah Jazz,Boston Celtics,2016-02-19 10:30:00,1,ESPN
Denver Nuggets,Boston Celtics,2016-02-21 05:00:00,0,Local
Minnesota Timberwolves,Boston Celtics,2016-02-22 08:00:00,0,Local
Boston Celtics,Milwaukee Bucks,2016-02-25 07:30:00,0,Local
Boston Celtics,Miami Heat,2016-02-27 03:00:00,0,Local
Boston Celtics,Utah Jazz,2016-02-29 07:30:00,0,Local
Boston Celtics,Portland Trail Blazers,2016-03-02 07:30:00,0,Local
Boston Celtics,New York Knicks,2016-03-04 07:30:00,0,Local
Cleveland Cavaliers,Boston Celtics,2016-03-05 07:00:00,0,Local
Boston Celtics,Memphis Grizzlies,2016-03-09 07:30:00,0,Local
Boston Celtics,Houston Rockets,2016-03-11 07:30:00,0,Local
Indiana Pacers,Boston Celtics,2016-03-15 07:00:00,0,Local
Boston Celtics,Oklahoma City Thunder,2016-03-16 07:00:00,1,ESPN
Philadelphia 76Ers,Boston Celtics,2016-03-20 06:00:00,0,Local
Boston Celtics,Orlando Magic,2016-03-21 07:30:00,0,Local
Phoenix Suns,Boston Celtics,2016-03-26 10:00:00,0,Local
Los Angeles Clippers,Boston Celtics,2016-03-28 10:30:00,1,NBATV
Portland Trail Blazers,Boston Celtics,2016-03-31 10:00:00,0,Local
Golden State Warriors,Boston Celtics,2016-04-01 10:30:00,1,ESPN
Boston Celtics,New Orleans Pelicans,2016-04-06 07:30:00,0,Local
Boston Celtics,Milwaukee Bucks,2016-04-08 07:30:00,0,Local
Atlanta Hawks,Boston Celtics,2016-04-09 07:30:00,0,Local
Boston Celtics,Charlotte Hornets,2016-04-11 07:30:00,0,Local
Boston Celtics,Miami Heat,2016-04-13 08:00:00,0,Local
Philadelphia 76Ers,Utah Jazz,2015-10-30 07:00:00,0,Local
Philadelphia 76Ers,Cleveland Cavaliers,2015-11-02 07:00:00,0,Local
Milwaukee Bucks,Philadelphia 76Ers,2015-11-04 08:00:00,0,Local
Cleveland Cavaliers,Philadelphia 76Ers,2015-11-06 07:30:00,0,Local
Philadelphia 76Ers,Orlando Magic,2015-11-07 07:00:00,0,Local
Philadelphia 76Ers,Chicago Bulls,2015-11-09 07:00:00,1,NBATV
